-2.3;0.568;4.78;3.99;3.17;0.125;0.11
-2.3;0.568;4.78;3.99;3.17;0.150;0.27
-2.3;0.568;4.78;3.99;3.17;0.175;0.47
-2.3;0.568;4.78;3.99;3.17;0.200;0.78
-2.3;0.568;4.78;3.99;3.17;0.225;1.18
-2.3;0.568;4.78;3.99;3.17;0.250;1.82
-2.3;0.568;4.78;3.99;3.17;0.275;2.61
-2.3;0.568;4.78;3.99;3.17;0.300;3.76
-2.3;0.568;4.78;3.99;3.17;0.325;4.99
-2.3;0.568;4.78;3.99;3.17;0.350;7.16
-2.3;0.568;4.78;3.99;3.17;0.375;11.93
-2.3;0.568;4.78;3.99;3.17;0.400;20.11
-2.3;0.568;4.78;3.99;3.17;0.425;32.75
-2.3;0.568;4.78;3.99;3.17;0.450;49.49
-2.3;0.569;4.78;3.04;3.64;0.125;0.04
-2.3;0.569;4.78;3.04;3.64;0.150;0.17
-2.3;0.569;4.78;3.04;3.64;0.175;0.37
-2.3;0.569;4.78;3.04;3.64;0.200;0.66
-2.3;0.569;4.78;3.04;3.64;0.225;1.06
-2.3;0.569;4.78;3.04;3.64;0.250;1.59
-2.3;0.569;4.78;3.04;3.64;0.275;2.33
-2.3;0.569;4.78;3.04;3.64;0.300;3.29
-2.3;0.569;4.78;3.04;3.64;0.325;4.61
-2.3;0.569;4.78;3.04;3.64;0.350;7.11
-2.3;0.569;4.78;3.04;3.64;0.375;11.99
-2.3;0.569;4.78;3.04;3.64;0.400;21.09
-2.3;0.569;4.78;3.04;3.64;0.425;35.01
-2.3;0.569;4.78;3.04;3.64;0.450;51.80
-2.3;0.565;4.78;5.35;2.76;0.125;0.09
-2.3;0.565;4.78;5.35;2.76;0.150;0.29
-2.3;0.565;4.78;5.35;2.76;0.175;0.56
-2.3;0.565;4.78;5.35;2.76;0.200;0.86
-2.3;0.565;4.78;5.35;2.76;0.225;1.31
-2.3;0.565;4.78;5.35;2.76;0.250;1.99
-2.3;0.565;4.78;5.35;2.76;0.275;2.94
-2.3;0.565;4.78;5.35;2.76;0.300;4.21
-2.3;0.565;4.78;5.35;2.76;0.325;5.54
-2.3;0.565;4.78;5.35;2.76;0.350;8.25
-2.3;0.565;4.78;5.35;2.76;0.375;13.08
-2.3;0.565;4.78;5.35;2.76;0.400;21.40
-2.3;0.565;4.78;5.35;2.76;0.425;33.14
-2.3;0.565;4.78;5.35;2.76;0.450;50.14
-2.3;0.564;5.10;3.95;3.53;0.125;0.20
-2.3;0.564;5.10;3.95;3.53;0.150;0.35
-2.3;0.564;5.10;3.95;3.53;0.175;0.65
-2.3;0.564;5.10;3.95;3.53;0.200;0.93
-2.3;0.564;5.10;3.95;3.53;0.225;1.37
-2.3;0.564;5.10;3.95;3.53;0.250;1.97
-2.3;0.564;5.10;3.95;3.53;0.275;2.83
-2.3;0.564;5.10;3.95;3.53;0.300;3.99
-2.3;0.564;5.10;3.95;3.53;0.325;5.19
-2.3;0.564;5.10;3.95;3.53;0.350;8.03
-2.3;0.564;5.10;3.95;3.53;0.375;12.86
-2.3;0.564;5.10;3.95;3.53;0.400;21.51
-2.3;0.564;5.10;3.95;3.53;0.425;33.97
-2.3;0.564;5.10;3.95;3.53;0.450;50.36
-2.4;0.574;4.36;3.96;2.76;0.125;0.20
-2.4;0.574;4.36;3.96;2.76;0.150;0.35
-2.4;0.574;4.36;3.96;2.76;0.175;0.65
-2.4;0.574;4.36;3.96;2.76;0.200;0.93
-2.4;0.574;4.36;3.96;2.76;0.225;1.37
-2.4;0.574;4.36;3.96;2.76;0.250;1.97
-2.4;0.574;4.36;3.96;2.76;0.275;2.83
-2.4;0.574;4.36;3.96;2.76;0.300;3.99
-2.4;0.574;4.36;3.96;2.76;0.325;5.19
-2.4;0.574;4.36;3.96;2.76;0.350;8.03
-2.4;0.574;4.36;3.96;2.76;0.375;12.86
-2.3;0.600;5.10;4.17;3.51;0.150;0.16
-2.3;0.600;5.10;4.17;3.51;0.175;0.39
-2.3;0.600;5.10;4.17;3.51;0.200;0.73
-2.3;0.600;5.10;4.17;3.51;0.225;1.24
-2.3;0.600;5.10;4.17;3.51;0.250;1.96
-2.3;0.600;5.10;4.17;3.51;0.275;3.04
-2.3;0.600;5.10;4.17;3.51;0.300;4.46
-2.3;0.600;5.10;4.17;3.51;0.325;6.31
-2.3;0.600;5.10;4.17;3.51;0.350;8.68
-2.3;0.600;5.10;4.17;3.51;0.375;12.39
-2.3;0.600;5.10;4.17;3.51;0.400;20.14
-2.3;0.600;5.10;4.17;3.51;0.425;31.77
-2.3;0.600;5.10;4.17;3.51;0.450;47.13
-2.3;0.600;4.34;4.23;2.73;0.125;0.04
-2.3;0.600;4.34;4.23;2.73;0.150;0.17
-2.3;0.600;4.34;4.23;2.73;0.175;0.36
-2.3;0.600;4.34;4.23;2.73;0.200;0.64
-2.3;0.600;4.34;4.23;2.73;0.225;1.02
-2.3;0.600;4.34;4.23;2.73;0.250;1.62
-2.3;0.600;4.34;4.23;2.73;0.275;2.63
-2.3;0.600;4.34;4.23;2.73;0.300;4.15
-2.3;0.600;4.34;4.23;2.73;0.325;6.00
-2.3;0.600;4.34;4.23;2.73;0.350;8.47
-2.3;0.600;4.34;4.23;2.73;0.375;12.27
-2.3;0.600;4.34;4.23;2.73;0.400;19.59
-2.3;0.600;4.34;4.23;2.73;0.425;30.48
-2.3;0.600;4.34;4.23;2.73;0.450;46.66
